address,matched_street,matched_zip,matched_city,matched_state,lat,lon,score,precision,geocode_result
222 EAST CENTRAL PARKWAY CINCINNATI OH 45202,NA,NA,NA,NA,NA,NA,NA,NA,cincy_inst_foster_addr
PO BOX 1922 CINCINNATI OH 45219,NA,NA,NA,NA,NA,NA,NA,NA,po_box
118 SPRINGFIELD PIKE CINCINNATI OH 45215,Springfield Pike,45215,Cincinnati,OH,39.220595,-84.473266,0.939,range,geocoded
3359 QUEEN CITY AVE CINCINNATI OH 45238,Queen City Ave,45238,Cincinnati,OH,39.140397,-84.610962,0.941,range,geocoded
8519 LINDERWOOD LN CINCINNATI OH 45255,Linderwood Ln,45255,Cincinnati,OH,39.077571,-84.317782,0.943,range,geocoded
6361 BEECHMONT AVE CINCINNATI OH 45230,Beechmont Ave,45230,Cincinnati,OH,39.088196,-84.382653,0.943,range,geocoded
10466 ADVENTURE LN CINCINNATI OH 45242,Adventure Ln,45242,Cincinnati,OH,39.250835,-84.359849,0.945,range,geocoded
3156 LOOKOUT CIR CINCINNATI OH 45208,Lookout Cir,45208,Cincinnati,OH,39.128833,-84.428426,0.947,range,geocoded
310 WYOMING AVE CINCINNATI OH 45215,Wyoming Ave,45215,Cincinnati,OH,39.227297,-84.467969,0.947,range,geocoded
6819 SIMPSON AVE CINCINNATI OH 45239,Simpson Ave,45239,Cincinnati,OH,39.216862,-84.560132,0.947,range,geocoded
1821 LAKENOLL DR CINCINNATI OH 45231,Lakenoll Dr,45231,Cincinnati,OH,39.227593,-84.553667,0.947,range,geocoded
413 VOLKERT PL CINCINNATI OH 45219,Volkert Pl,45219,Cincinnati,OH,39.126941,-84.525681,0.949,range,geocoded
1040 KREIS LN CINCINNATI OH 45205,Kreis Ln,45205,Cincinnati,OH,39.111601,-84.589037,0.954,range,geocoded
9960 DALY RD CINCINNATI OH 45231,Daly Rd,45231,Cincinnati,OH,39.249755,-84.527856,0.957,range,geocoded
